Name,d,phi,theta,flipu,flipv,rotation_angle,cm_pix,h_cm,w_cm
A4C,0,0,90,False,True,0,0.03865055612520374,20.474037688849073,28.597534403135075
A5C,0,0,105,False,True,0,0.037844366779398536,19.972617019410535,27.877461273929804
A2C,0,90,0,False,True,0,0.037493175822268694,20.47236694668171,28.540351686869155
A3C,0,90,330,False,True,0,0.037593510525458666,20.253683593004123,28.230736935962522
PSAX_(level_of_apex),40,0,0,False,True,56,0.03325210183392896,18.03059007158617,25.11771310350373
PSAX_(level_of_MV),60,0,0,False,True,56,0.03105822999414586,16.962278338109417,23.63371390360042
PSAX_(level_of_papillary_muscles),80,14,0,False,True,56,0.03360075163702112,17.72719659901521,24.71032100301017
PLAX,0,90,330,False,True,70,0.03291424635178933,17.946492422282912,24.98054564696667
